sep=;
Instancia;Jobs;Maquinas;Makespan LPT;Makespan SPT;Makespan MWKR;Melhor
ta29Jsp.psi;20;20;11365;11463;2689;MWKR 
ta30Jsp.psi;20;20;12074;10367;2711;MWKR 
ta31Jsp.psi;30;15;12241;11646;3126;MWKR 
ta32Jsp.psi;30;15;13310;12856;3165;MWKR 
ta33Jsp.psi;30;15;15024;14097;2795;MWKR 
ta34Jsp.psi;30;15;13600;13662;3093;MWKR 
ta35Jsp.psi;30;15;12848;10985;3114;MWKR 
ta36Jsp.psi;30;15;13496;14054;2967;MWKR 
ta37Jsp.psi;30;15;12018;13095;3144;MWKR 
ta38Jsp.psi;30;15;13110;11511;2473;MWKR 
ta39Jsp.psi;30;15;12752;10533;3175;MWKR 
ta40Jsp.psi;30;15;13083;10411;2940;MWKR 
ta41Jsp.psi;30;20;19546;18114;3286;MWKR 
ta42Jsp.psi;30;20;17563;19595;3411;MWKR 
ta43Jsp.psi;30;20;15842;14854;3225;MWKR 
ta44Jsp.psi;30;20;18649;14344;3337;MWKR 
ta45Jsp.psi;30;20;19763;15279;3360;MWKR 
ta46Jsp.psi;30;20;17778;17939;3326;MWKR 
ta47Jsp.psi;30;20;17954;16926;3050;MWKR 
ta48Jsp.psi;30;20;17956;16039;3452;MWKR 
ta49Jsp.psi;30;20;17545;16112;3232;MWKR 
ta50Jsp.psi;30;20;18356;18208;3044;MWKR 
ta51Jsp.psi;50;15;22393;20290;4534;MWKR 
ta52Jsp.psi;50;15;20128;19263;4475;MWKR 
ta53Jsp.psi;50;15;21084;22259;3918;MWKR 
ta54Jsp.psi;50;15;19978;18094;4362;MWKR 
ta55Jsp.psi;50;15;20730;17994;4978;MWKR 
ta56Jsp.psi;50;15;21617;20365;4525;MWKR 
ta57Jsp.psi;50;15;21369;20754;4595;MWKR 
ta58Jsp.psi;50;15;24405;20234;4380;MWKR 
ta59Jsp.psi;50;15;21948;18189;4254;MWKR 
ta60Jsp.psi;50;15;22354;19647;4471;MWKR 
ta61Jsp.psi;50;20;32530;26047;4577;MWKR 
ta62Jsp.psi;50;20;32181;27353;4655;MWKR 
ta63Jsp.psi;50;20;31186;28502;4313;MWKR 
ta64Jsp.psi;50;20;28740;26673;4364;MWKR 
